Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2018/2/2,19.52,19.52,19.52,19.52,19.52,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,18.280999999999974,0,0.3513821601595896,0.3513821601595896,0.3513821601595896,0.3513821601595896
2018/2/5,19.12,19.12,19.12,19.12,19.12,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,18.267499999999977,0,0.33998290111142776,0.33998290111142776,0.33998290111142776,0.33998290111142776
2018/2/6,19.1,19.1,19.1,19.1,19.1,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,18.272499999999976,0,0.3394129381590197,0.3394129381590197,0.3394129381590197,0.3394129381590197
2018/2/7,18.54,18.54,18.54,18.54,18.54,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,18.283999999999978,0,0.323453975491593,0.323453975491593,0.323453975491593,0.323453975491593
2018/2/8,18.09,18.09,18.09,18.09,18.09,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,18.272999999999975,0,0.31062980906241094,0.31062980906241094,0.31062980906241094,0.31062980906241094
2018/2/9,17.99,17.99,17.99,17.99,17.99,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,18.282499999999978,0,0.30777999430037034,0.30777999430037034,0.30777999430037034,0.30777999430037034
2018/2/22,18.77,18.77,18.77,18.77,18.77,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,18.411999999999974,0,0.3300085494442861,0.3300085494442861,0.3300085494442861,0.3300085494442861
2018/2/23,17.0,17.0,17.0,17.0,17.0,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,18.411999999999974,0,0.2795668281561698,0.2795668281561698,0.2795668281561698,0.2795668281561698
2018/2/26,17.3,17.3,17.3,17.3,17.3,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,18.451999999999977,0,0.2881162724422912,0.2881162724422912,0.2881162724422912,0.2881162724422912
2018/2/27,16.0,16.0,16.0,16.0,16.0,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,18.361999999999973,0,0.25106868053576514,0.25106868053576514,0.25106868053576514,0.25106868053576514
